"Census_2010","City"
"1911","Afton"
"181","Albin"
"828","Alpine"
"440","Baggs"
"106","Bairoil"
"2213","Bar Nunn"
"1285","Basin"
"518","Bear River"
"552","Big Piney"
"4585","Buffalo"
"288","Burlington"
"301","Burns"
"593","Byron"
"35316","Casper"
"59466","Cheyenne"
"212","Chugwater"
"142","Clearmont"
"9520","Cody"
"535","Cokeville"
"655","Cowley"
"757","Dayton"
"178","Deaver"
"737","Diamondville"
"97","Dixon"
"6120","Douglas"
"971","Dubois"
"254","East Thermopolis"
"195","Edgerton"
"191","Elk Mountain"
"12359","Evanston"
"2544","Evansville"
"230","Fort Laramie"
"157","Frannie"
"29087","Gillette"
"205","Glendo"
"2576","Glenrock"
"450","Grand Encampment"
"139","Granger"
"12515","Green River"
"1847","Greybull"
"1147","Guernsey"
"841","Hanna"
"62","Hartville"
"458","Hudson"
"383","Hulett"
"9577","Jackson"
"263","Kaycee"
"2656","Kemmerer"
"92","Kirby"
"551","La Barge"
"448","La Grange"
"7487","Lander"
"30816","Laramie"
"468","Lingle"
"4","Lost Springs"
"2360","Lovell"
"1567","Lusk"
"2115","Lyman"
"114","Manderson"
"95","Manville"
"1094","Marbleton"
"284","Medicine Bow"
"327","Meeteetse"
"404","Midwest"
"3461","Mills"
"1009","Moorcroft"
"1286","Mountain View"
"3532","Newcastle"
"96","Opal"
"231","Pavillion"
"1129","Pine Bluffs"
"490","Pine Haven"
"2030","Pinedale"
"6314","Powell"
"855","Ranchester"
"9259","Rawlins"
"52","Riverside"
"10615","Riverton"
"245","Rock River"
"23036","Rock Springs"
"440","Rolling Hills"
"1690","Saratoga"
"17444","Sheridan"
"649","Shoshoni"
"433","Sinclair"
"1503","Star Valley Ranch"
"1182","Sundance"
"336","Superior"
"260","Ten Sleep"
"366","Thayne"
"3009","Thermopolis"
"6501","Torrington"
"1100","Upton"
"15","Van Tassell"
"451","Wamsutter"
"3627","Wheatland"
"5487","Worland"
"1807","Wright"
"151","Yoder"
